id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,mpn,inventory,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
DJHC-851,1982 Topps Receiving Leaders Kellen Winslow + Dwight Clark #258,"1982 Topps Receiving Leaders Kellen Winslow + Dwight Clark #258 Listing details: Type: Sports Trading Card; Manufacturer: Topps; Set: 1982 Topps; Season: 1982; Year manufactured: 1982; Player/Athlete: Dwight Clark, Kellen Winslow; Team: San Francisco 49ers, Tampa Bay Buccaneers; Sport: Football; League: NFL; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. Review the product photo before purchase. DJHC inventory ID: DJHC-851.",in stock,used,1.49 USD,https://www.djshouseofcards-comics.com/football-cards.html?item=851,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1982%20Topps%20Receiving%20Leaders%20Kellen%20Winslow%20%2B%20Dwight%20Clark%20258%20(1).jpg,,DJ's House of Cards & Comics,DJHC-851,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Football Cards,Non-Legacy Workbook,Football,Base Set,Under $10,Football | NFL | San Francisco 49ers | Tampa Bay Buccaneers
DJHC-855,1992-93 Hoops Shaquille O'Neal Rookie #442 + Fleer Ultra Rookie + Set Of 3,1992-93 Hoops Shaquille O'Neal Rookie #442 + Fleer Ultra Rookie + Set Of 3 Listing details: Type: Sports Trading Card; Manufacturer: Fleer; Set: 1992-93 Hoops; Season: 1992-93; Year manufactured: 1992; Player/Athlete: Shaquille O'Neal; Team: Los Angeles Lakers; Sport: Basketball; League: NBA; Features: Rookie; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 5 product photos are included for review. DJHC inventory ID: DJHC-855.,in stock,used,18.95 USD,https://www.djshouseofcards-comics.com/basketball-cards.html?item=855,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1992-93%20Hoops%20Shaquille%20O'Neal%20Rookie%20%23442%20%2B%20Fleer%20Ultra%20Rookie%20%2B%20Set%20Of%203%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1992-93%20Hoops%20Shaquille%20O'Neal%20Rookie%20%23442%20%2B%20Fleer%20Ultra%20Rookie%20%2B%20Set%20Of%203%20(2).jpg,DJ's House of Cards & Comics,DJHC-855,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Basketball Cards,Non-Legacy Workbook,Basketball,Rookie,$10-$24.99,Basketball | NBA | Los Angeles Lakers
DJHC-856,1997 Just Minors Zach Sorensen Limited Edition Rookie Auto SP,"1997 Just Minors Zach Sorensen Limited Edition Rookie Auto SP Listing details: Type: Sports Trading Card; Manufacturer: Just Minors; Set: 1997 Just Minors; Season: 1997; Year manufactured: 1997; Sport: Baseball; League: MLB; Features: Autograph, Rookie, Short Print; Autographed: Yes; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-856.",in stock,used,3.95 USD,https://www.djshouseofcards-comics.com/baseball-cards.html?item=856,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Baseball/Pre-2010/1997%20Just%20Minors%20Zach%20Sorensen%20Limited%20Edition%20Rookie%20Auto%20SP%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Baseball/Pre-2010/1997%20Just%20Minors%20Zach%20Sorensen%20Limited%20Edition%20Rookie%20Auto%20SP%20(2).jpg,DJ's House of Cards & Comics,DJHC-856,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Baseball Cards,Non-Legacy Workbook,Baseball,Autograph,Under $10,Baseball | MLB | 1997
DJHC-857,1997 Score Board Rookies Tim Duncan #57 + /1996 Ray Allen Rookie #84,"1997 Score Board Rookies Tim Duncan #57 + /1996 Ray Allen Rookie #84 Listing details: Type: Sports Trading Card; Manufacturer: Score; Set: 1997 Score; Season: 1997; Year manufactured: 1997; Player/Athlete: Ray Allen, Tim Duncan; Team: Seattle SuperSonics, San Antonio Spurs; Sport: Basketball; League: NBA; Features: Rookie; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-857.",in stock,used,2.95 USD,https://www.djshouseofcards-comics.com/basketball-cards.html?item=857,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1997%20Score%20Board%20Rookies%20Tim%20Duncan%20%2357%20%2B%201996%20Ray%20Allen%20Rookie%20%2384%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1997%20Score%20Board%20Rookies%20Tim%20Duncan%20%2357%20%2B%201996%20Ray%20Allen%20Rookie%20%2384%20(2).jpg,DJ's House of Cards & Comics,DJHC-857,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Basketball Cards,Non-Legacy Workbook,Basketball,Rookie,Under $10,Basketball | NBA | Seattle SuperSonics | San Antonio Spurs
DJHC-858,1997-98 Topps Finest Uncommon Chauncey Billups Rookie SP #286,"1997-98 Topps Finest Uncommon Chauncey Billups Rookie SP #286 Listing details: Type: Sports Trading Card; Manufacturer: Topps; Set: 1997-98 Topps Finest; Season: 1997-98; Year manufactured: 1997; Player/Athlete: Chauncey Billups; Team: Detroit Pistons; Sport: Basketball; League: NBA; Features: Rookie, Short Print; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-858.",in stock,used,4.95 USD,https://www.djshouseofcards-comics.com/basketball-cards.html?item=858,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1997-98%20Topps%20Finest%20Uncommon%20Chauncey%20Billups%20Rookie%20SP%20%23286%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1997-98%20Topps%20Finest%20Uncommon%20Chauncey%20Billups%20Rookie%20SP%20%23286%20(2).jpg,DJ's House of Cards & Comics,DJHC-858,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Basketball Cards,Non-Legacy Workbook,Basketball,Rookie,Under $10,Basketball | NBA | Detroit Pistons
DJHC-859,1999 Collector's Edge Peyton Manning Supreme T3 #T3-07,1999 Collector's Edge Peyton Manning Supreme T3 #T3-07 Listing details: Type: Sports Trading Card; Manufacturer: Collector's Edge; Set: 1999 Collector's Edge; Season: 1999; Year manufactured: 1999; Player/Athlete: Peyton Manning; Team: Indianapolis Colts; Sport: Football; League: NFL; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-859.,in stock,used,2.95 USD,https://www.djshouseofcards-comics.com/football-cards.html?item=859,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/1999%20Collector's%20Edge%20Peyton%20Manning%20Supreme%20T3%20%23T3-07%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/1999%20Collector's%20Edge%20Peyton%20Manning%20Supreme%20T3%20%23T3-07%20(2).jpg,DJ's House of Cards & Comics,DJHC-859,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Football Cards,Non-Legacy Workbook,Football,Insert,Under $10,Football | NFL | Indianapolis Colts
DJHC-860,1999-00 Collector's Edge Rookie Rage Authentic Gameball #TL Trajan Langdon RC,1999-00 Collector's Edge Rookie Rage Authentic Gameball #TL Trajan Langdon RC Listing details: Type: Sports Trading Card; Manufacturer: Collector's Edge; Set: 1999-00 Collector's Edge; Season: 1999-00; Year manufactured: 1999; Player/Athlete: Trajan Langdon; Team: Cleveland Cavaliers; Sport: Basketball; League: NBA; Features: Rookie; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-860.,in stock,used,1.95 USD,https://www.djshouseofcards-comics.com/basketball-cards.html?item=860,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1999-00%20Collector's%20Edge%20Rookie%20Rage%20Authentic%20Gameball%20%23TL%20Trajan%20Langdon%20RC%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/1900-2000/1999-00%20Collector's%20Edge%20Rookie%20Rage%20Authentic%20Gameball%20%23TL%20Trajan%20Langdon%20RC%20(2).jpg,DJ's House of Cards & Comics,DJHC-860,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Basketball Cards,Non-Legacy Workbook,Basketball,Rookie,Under $10,Basketball | NBA | Cleveland Cavaliers
DJHC-861,2001 Pacific Dynagon Chad Johnson #118 + Reggie Wayne #126 Rookie Set,"2001 Pacific Dynagon Chad Johnson #118 + Reggie Wayne #126 Rookie Set Listing details: Type: Sports Trading Card; Manufacturer: Pacific; Set: 2001 Pacific Dynagon; Season: 2001; Year manufactured: 2001; Player/Athlete: Chad Johnson, Reggie Wayne; Team: Cincinnati Bengals, Indianapolis Colts; Sport: Football; League: NFL; Features: Rookie; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-861.",in stock,used,3.49 USD,https://www.djshouseofcards-comics.com/football-cards.html?item=861,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/2001%20Pacific%20Dynagon%20Chad%20Johnson%20%23118%20%2B%20Reggie%20Wayne%20%23126%20Rookie%20Set%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/2001%20Pacific%20Dynagon%20Chad%20Johnson%20%23118%20%2B%20Reggie%20Wayne%20%23126%20Rookie%20Set%20(2).jpg,DJ's House of Cards & Comics,DJHC-861,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Football Cards,Non-Legacy Workbook,Football,Rookie,Under $10,Football | NFL | Cincinnati Bengals | Indianapolis Colts
DJHC-862,2002 Bowman Certified Autograph Issue Jason Lane Auto #BA-JL,2002 Bowman Certified Autograph Issue Jason Lane Auto #BA-JL Listing details: Type: Sports Trading Card; Manufacturer: Bowman; Set: 2002 Bowman; Season: 2002; Year manufactured: 2002; Player/Athlete: Jason Lane; Team: Houston Astros; Sport: Baseball; League: MLB; Features: Autograph; Autographed: Yes; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-862.,in stock,used,2.95 USD,https://www.djshouseofcards-comics.com/baseball-cards.html?item=862,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Baseball/Pre-2010/2002%20Bowman%20Certified%20Autograph%20Issue%20Jason%20Lane%20Auto%20%23BA-JL%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Baseball/Pre-2010/2002%20Bowman%20Certified%20Autograph%20Issue%20Jason%20Lane%20Auto%20%23BA-JL%20(2).jpg,DJ's House of Cards & Comics,DJHC-862,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Baseball Cards,Non-Legacy Workbook,Baseball,Autograph,Under $10,Baseball | MLB | Houston Astros
DJHC-863,2002 Pacific Trading David Boston Game-Worn Patch #1 Arizona Cardinals,2002 Pacific Trading David Boston Game-Worn Patch #1 Arizona Cardinals Listing details: Type: Sports Trading Card; Manufacturer: Pacific; Set: 2002 Pacific Trading; Season: 2002; Year manufactured: 2002; Player/Athlete: David Boston; Team: Arizona Cardinals; Sport: Football; League: NFL; Features: Memorabilia; Autographed: No; Condition: Near mint or better. Please review all photos for the exact item or items included and for condition details. 2 product photos are included for review. DJHC inventory ID: DJHC-863.,in stock,used,4.95 USD,https://www.djshouseofcards-comics.com/football-cards.html?item=863,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/2002%20Pacific%20Trading%20David%20Boston%20Game-Worn%20Patch%20%231%20Arizona%20Cardinals%20(1).jpg,https://www.djshouseofcards-comics.com/assets/Ebay%20Listing%20Photos/Football/1990-2013/2002%20Pacific%20Trading%20David%20Boston%20Game-Worn%20Patch%20%231%20Arizona%20Cardinals%20(2).jpg,DJ's House of Cards & Comics,DJHC-863,1,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Football Cards,Non-Legacy Workbook,Football,Memorabilia,Under $10,Football | NFL | Arizona Cardinals
